MUESTRA,PUNTO,LADO,COOR1,COOR2,EDAD,SEXO,EDAD.SEXO,LONG.TOT,ANTREAL1,ANTREAL2,ANTREAL3,ANTREAL4,ANTTOT,DIAMCAB,UNA,EMPODIO3,MAN,DENS,MUCRON,FURTOT,PAO,OJO,TORAX2,ABDOM1,ABDOM4,ABDOM5,ABDOM6,ABDOMTOT
A,A,Central,10,137.5,Joven,Desconocido,Joven-Desconocido,830,12,28,30,58,16,168,15,7,50,28,10,88,12,7,100,72,70,58,10,210
B,B,Central,12,136.5,Joven,Desconocido,Joven-Desconocido,670,14,26,27,49,10,128,18,10,46,21,8,75,9,0,86,70,62,46,8,186
B,B,Central,12,136,Adulto,Macho,Adulto-Macho,1080,30,40,44,70,44,192,2,16,0,0,0,0,8,0,110,82,110,78,10,280
B,B,Central,11,139.5,Desconocido,Desconocido,Desconocido-Desconocido,1080,26,38,40,64,36,192,26,14,0,0,0,0,0,0,150,90,120,68,12,290
B,B,Central,11,142,Desconocido,Desconocido,Desconocido-Desconocido,1020,22,38,38,60,31,184,26,14,42,34,14,90,14,10,130,90,110,64,24,288
B,B,Central,11.5,136.5,Adulto,Hembra,Adulto-Hembra,1420,32,50,48,80,57,0,38,16,64,26,18,108,18,10,180,134,176,86,60,456
B,B,Central,12,140,Adulto,Hembra,Adulto-Hembra,1400,32,60,56,58,55,0,38,20,82,46,22,150,24,12,192,134,192,0,0,326
B,B,Central,11.5,143,Desconocido,Desconocido,Desconocido-Desconocido,1200,28,42,42,72,44,168,30,14,0,44,18,62,20,10,160,106,150,100,28,384
B,B,Central,11.5,137,Adulto,Hembra,Adulto-Hembra,1460,32,60,54,82,66,208,42,20,96,44,22,162,20,12,180,130,174,110,38,452
B,B,Central,11,140.5,Adulto,Hembra,Adulto-Hembra,1380,26,50,50,84,57,0,36,18,98,46,22,166,20,10,168,128,150,106,30,414
C,,,11,136,Joven,Desconocido,Joven-Desconocido,810,18,28,32,54,18,152,22,10,60,28,14,102,14,0,88,50,78,68,34,230
C,,,11,141.5,Joven,Desconocido,Joven-Desconocido,800,20,32,32,56,22,168,16,0,60,28,14,102,18,0,110,70,90,56,10,226
C,,,11,143.5,Joven,Desconocido,Joven-Desconocido,860,14,34,34,54,20,160,24,10,50,30,12,92,14,0,110,70,0,0,0,70
C,,,11,138,Joven,Desconocido,Joven-Desconocido,620,20,26,28,48,13,128,18,10,32,22,10,64,0,0,86,50,60,48,18,176
C,,,11.5,145.5,Joven,Desconocido,Joven-Desconocido,600,16,26,26,48,10,112,20,10,60,20,10,90,0,0,74,50,60,28,20,158
C,,,7,136,Joven,Desconocido,Joven-Desconocido,560,16,20,24,44,5,112,18,12,0,0,0,0,0,0,68,50,56,30,22,158
C,,,8.5,140,Joven,Desconocido,Joven-Desconocido,560,16,22,22,42,4,120,20,10,28,20,10,58,0,8,58,50,56,40,14,160
